conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,opened_at,full_text_formal,full_text_formal_stop,full_text_formal_stop_stanza,full_text_formal_stop_stem,sentiment_result,sentiment,sentiment_score
1854798667183702522,Fri Nov 08 08:10:41 +0000 2024,30,mari kita ciptakan lingkungan sekolah yang aman dan inklusif untuk semua! bersama bisa katakan tidak pada perundungan!,1854798682597790058,https://pbs.twimg.com/media/Gb2RkLwbwAMcV9m.jpg,educology_id,in,,0,2,7,https://x.com/educology_id/status/1854798682597790058,1112818225,educology_id,2024-12-06 16:30:44.672336,mari kita ciptakan lingkungan sekolah yang aman dan inklusif untuk semua! bersama bisa katakan tidak pada perundungan!,mari ciptakan lingkungan sekolah aman inklusif perundungan!,mari cipta lingkung sekolah aman inklusif rundung !,mari cipta lingkung sekolah aman inklusif rundung,"{'label': 'neutral', 'score': 0.9115505814552307}",neutral,0.9115505814552307
1854798667183702522,Fri Nov 08 08:10:37 +0000 2024,41,tahukah kamu ternyata dalam kurikulum merdeka kita bukan hanya belajar akademik tapi juga menghargai dan menghormati satu sama lain. ingin tahu selengkapnya? yuk simak ulasannya berikut ini!,1854798667183702522,https://pbs.twimg.com/media/Gb2RjLObUAA7tPs.jpg,,in,,0,4,10,https://x.com/educology_id/status/1854798667183702522,1112818225,educology_id,2024-12-06 16:30:44.672336,tahukah kamu ternyata dalam kurikulum merdeka kita bukan hanya belajar akademik tetapijuga menghargai dan menghormati satu sama lain. ingin tahu selengkapnya? yuk simak ulasannya berikut ini!,tahukah kurikulum merdeka belajar akademik tetapijuga menghargai menghormati selengkapnya? simak ulasannya ,kah belajar akademik tetapijuga harga hormat selengkap nya ? simak ulas,tahu kurikulum merdeka ajar akademik tetapijuga harga hormat lengkap simak ulas,"{'label': 'positive', 'score': 0.8129665851593018}",positive,0.8129665851593018
1854772701048848441,Fri Nov 08 06:27:26 +0000 2024,0,kurikulum merdeka : arah baru pembelajaran yang lebih mendalam dan menyenangkan,1854772701048848441,,,in,"Sumatera Utara, Indonesia",0,0,0,https://x.com/RedaksiT648/status/1854772701048848441,1803971049027248129,RedaksiT648,2024-12-06 16:30:44.672336,kurikulum merdeka : arah baru pembelajaran yang lebih mendalam dan menyenangkan,kurikulum merdeka : arah pembelajaran mendalam menyenangkan,: arah belajar senang,kurikulum merdeka arah ajar dalam senang,"{'label': 'neutral', 'score': 0.9758820533752441}",neutral,0.9758820533752441
1854750696769302831,Fri Nov 08 05:00:00 +0000 2024,0,menteri pendidikan dasar dan menengah abdul mu'ti memberikan bocoran tentang wacana pergantian kurikulum.,1854750696769302831,https://pbs.twimg.com/media/Gb1JsUvbQAARHGl.jpg,,in,indonesia,0,0,0,https://x.com/suaramerdeka/status/1854750696769302831,219527452,suaramerdeka,2024-12-06 16:30:44.672336,menteri pendidikan dasar dan menengah abdul mu'ti memberikan bocoran tentang wacana pergantian kurikulum.,menteri pendidikan dasar menengah abdul mu'ti bocoran wacana pergantian kurikulum.,menteri didik dasar menengah abdul mu'ti bocor wacana ganti .,menteri didik dasar tengah abdul mu ti bocor wacana ganti kurikulum,"{'label': 'neutral', 'score': 0.9989081621170044}",neutral,0.9989081621170044
1854737255623278769,Fri Nov 08 04:06:35 +0000 2024,0,deep learning pengganti kurikulum merdeka begini metode baru pembelajaran yang mulai digodok mendikdasmen,1854737255623278769,,,in,Indonesia,0,0,1,https://x.com/prokaldotco/status/1854737255623278769,3312427500,prokaldotco,2024-12-06 16:30:44.672336,deep learning pengganti kurikulum merdeka begini metode baru pembelajaran yang mulai digodok mendikdasmen,deep learning pengganti kurikulum merdeka metode pembelajaran digodok mendikdasmen,deep learning ganti metode belajar godok mendikdasmen,deep learning ganti kurikulum merdeka metode ajar godok mendikdasmen,"{'label': 'neutral', 'score': 0.9987459182739258}",neutral,0.9987459182739258
1854725683106509072,Fri Nov 08 03:20:36 +0000 2024,0,special friends hari ini kita pelajari pendidikan agama islam!,1854725683106509072,https://pbs.twimg.com/ext_tw_video_thumb/1854725524549255171/pu/img/SRJ2YOG5KbLwmxWV.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1854725683106509072,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends hari ini kita pelajari pendidikan agama islam!,special friends pelajari pendidikan agama islam!,special friends pelajari didik agama islam !,special friends ajar didik agama islam,"{'label': 'negative', 'score': 0.9283360838890076}",negative,0.9283360838890076
1854691653896093747,Fri Nov 08 01:05:23 +0000 2024,0,hari keempat p kelas dengan tema bhinneka tunggal ika kamis november,1854691653896093747,https://pbs.twimg.com/ext_tw_video_thumb/1854691585013039105/pu/img/2laIJ2Nam3aWvjwb.jpg,,in,,0,0,0,https://x.com/Smpn8_Yogya/status/1854691653896093747,1695671284343111680,Smpn8_Yogya,2024-12-06 16:30:44.672336,hari keempat p kelas dengan tema bhinneka tunggal ika kamis november,hari keempat p kelas tema bhinneka tunggal ika kamis november,keempat p kelas tema bhinneka tunggal ika kamis november,hari empat p kelas tema bhinneka tunggal ika kamis november,"{'label': 'neutral', 'score': 0.9983789920806885}",neutral,0.9983789920806885
1854444311364128810,Thu Nov 07 08:42:36 +0000 2024,31,ingin tahu metode apa yang digunakan? yuk simak ulasannya berikut ini!,1854444327424135311,https://pbs.twimg.com/media/GbxPR9zbIAAPICV.jpg,educology_id,in,,0,2,6,https://x.com/educology_id/status/1854444327424135311,1112818225,educology_id,2024-12-06 16:30:44.672336,ingin tahu metode apa yang digunakan? yuk simak ulasannya berikut ini!,ingin metode simak ulasannya ,metode simak ulas,ingin metode simak ulas,"{'label': 'neutral', 'score': 0.9907762408256531}",neutral,0.9907762408256531
1854444311364128810,Thu Nov 07 08:42:32 +0000 2024,35,dengan semangat mengajar dan kreativitasnya yang tinggi ibu fajriyatun sukses membuat pelajaran dianggap membosankan menjadi menyenangkan untuk murid-muridnya!,1854444311364128810,https://pbs.twimg.com/media/GbxPRC4aYAAa9hp.jpg,,in,,0,3,10,https://x.com/educology_id/status/1854444311364128810,1112818225,educology_id,2024-12-06 16:30:44.672336,dengan semangat mengajar dan kreativitasnya yang tinggi ibu fajriyatun sukses membuat pelajaran dianggap membosankan menjadi menyenangkan untuk murid-muridnya!,dengan semangat mengajar kreativitasnya fajriyatun sukses pelajaran dianggap membosankan menyenangkan murid-muridnya!,semangat ajar kreativitas fajriyatun sukses pelajar anggap bosan senang murid !,dengan semangat ajar kreativitas fajriyatun sukses ajar anggap bosan senang murid,"{'label': 'positive', 'score': 0.9956603646278381}",positive,0.9956603646278381
1854342020577607941,Thu Nov 07 01:56:04 +0000 2024,0,special friends mengenal nilai spiritual lewat pendidikan agama hindu!,1854342020577607941,https://pbs.twimg.com/ext_tw_video_thumb/1854341750783082496/pu/img/_wk3u4rwEJxHNK7T.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1854342020577607941,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends mengenal nilai spiritual lewat pendidikan agama hindu!,special friends mengenal nilai spiritual pendidikan agama hindu!,special friends kenal nilai spiritual didik agama hindu !,special friends kenal nilai spiritual didik agama hindu,"{'label': 'positive', 'score': 0.65571528673172}",positive,0.65571528673172
